0
"Date Open High Low Close
Adj Close
Volume"
"Apr 16, 2025 531.68 537.89 520.29 525.66 524.11 83,484,800"
"Apr 15, 2025 539.67 543.23 536.81 537.61 536.03 56,892,900"
"Apr 14, 2025 544.05 544.28 533.86 539.12 537.53 68,034,000"
"Apr 11, 2025 523.01 536.43 520.07 533.94 532.37 97,866,300"
"Apr 10, 2025 532.17 533.50 509.32 524.58 523.03 162,331,200"
"Apr 9, 2025 493.44 548.62 493.05 548.62 547.00 241,867,300"
"Apr 8, 2025 521.86 524.98 489.16 496.48 495.02 165,816,600"
"Apr 7, 2025 489.19 523.17 481.80 504.38 502.89 256,611,400"
"Apr 4, 2025 523.67 525.87 505.06 505.28 503.79 217,965,100"
"Apr 3, 2025 545.11 547.97 536.70 536.70 535.12 125,986,000"
"Apr 2, 2025 555.05 567.42 554.81 564.52 562.86 76,014,500"
"Apr 1, 2025 557.45 562.94 553.68 560.97 559.32 54,609,600"
"Mar 31, 2025 549.83 560.71 546.87 559.39 557.74 95,328,200"
"Mar 28, 2025 565.53 566.27 555.07 555.66 554.02 71,662,700"
"Mar 27, 2025 567.18 570.90 564.94 567.08 565.41 42,164,200"
"Mar 26, 2025 575.19 576.33 567.19 568.59 566.91 51,848,300"
"Mar 25, 2025 575.30 576.41 573.69 575.46 573.76 38,355,700"
"Mar 24, 2025 570.80 575.15 570.20 574.08 572.39 58,766,800"
"Mar 21, 2025 1.696 Dividend"
"Mar 21, 2025 559.28 564.89 558.03 563.98 562.32 83,763,000"
"Mar 20, 2025 563.33 570.57 562.60 565.49 562.13 62,958,200"
"Mar 19, 2025 562.83 570.95 561.63 567.13 563.76 66,556,000"
"Mar 18, 2025 564.80 565.02 559.06 561.02 557.69 66,041,400"
"Mar 17, 2025 562.79 569.71 562.35 567.15 563.78 49,008,700"
"Mar 14, 2025 556.11 563.83 551.49 562.81 559.47 62,660,300"
"Mar 13, 2025 558.49 559.11 549.68 551.42 548.15 74,079,400"
"Mar 12, 2025 562.17 563.11 553.69 558.87 555.55 69,588,200"
"Mar 11, 2025 559.40 564.02 552.02 555.92 552.62 88,102,100"
"Mar 10, 2025 567.59 569.54 555.59 560.58 557.25 99,326,600"
"Mar 7, 2025 570.90 577.39 565.63 575.92 572.50 81,158,800"
"Mar 6, 2025 575.48 580.17 570.12 572.71 569.31 80,094,900"
"Mar 5, 2025 576.69 584.88 573.08 583.06 579.60 71,230,500"
"Mar 4, 2025 579.71 585.39 572.25 576.86 573.43 109,648,200"
"Mar 3, 2025 596.18 597.34 579.90 583.77 580.30 74,249,200"
"Feb 28, 2025 585.56 594.72 582.44 594.18 590.65 88,744,100"
"Feb 27, 2025 596.85 598.02 584.65 585.05 581.58 74,196,700"
"Feb 26, 2025 595.93 599.58 591.86 594.54 591.01 43,321,600"
"Feb 25, 2025 597.15 597.89 589.56 594.24 590.71 58,266,500"
"Feb 24, 2025 602.02 603.03 596.49 597.21 593.66 50,737,200"
"Feb 21, 2025 610.16 610.30 599.47 599.94 596.38 76,519,800"
"Feb 20, 2025 611.54 611.68 607.02 610.38 606.76 36,554,000"
"Feb 19, 2025 610.08 613.23 609.56 612.93 609.29 31,011,100"
"Feb 18, 2025 610.88 611.49 608.38 611.49 607.86 26,749,000"
"Feb 14, 2025 609.94 610.99 609.07 609.70 606.08 26,910,400"
"Feb 13, 2025 604.48 609.94 603.20 609.73 606.11 40,921,300"
"Feb 12, 2025 599.20 604.55 598.51 603.36 599.78 45,076,100"
"Feb 11, 2025 602.55 605.86 602.43 605.31 601.72 30,056,700"
"Feb 10, 2025 604.03 605.50 602.74 604.85 601.26 26,048,700"
"Feb 7, 2025 606.89 608.13 600.05 600.77 597.20 50,788,500"
"Feb 6, 2025 605.99 606.45 602.63 606.32 602.72 35,771,500"
"Feb 5, 2025 600.64 604.37 598.58 604.22 600.63 30,653,100"
"Feb 4, 2025 597.83 602.30 597.28 601.78 598.21 33,457,800"
"Feb 3, 2025 592.67 600.29 590.49 597.77 594.22 65,857,200"
"Jan 31, 2025 607.50 609.96 601.05 601.82 598.25 66,566,900"
"Jan 30, 2025 603.96 606.60 600.72 605.04 601.45 39,281,300"
"Jan 29, 2025 603.72 604.13 599.22 601.81 598.24 37,177,400"
"Jan 28, 2025 600.62 605.37 597.25 604.52 600.93 44,433,300"
"Jan 27, 2025 594.81 599.69 594.64 599.37 595.81 70,361,100"
"Jan 24, 2025 609.81 610.78 606.80 607.97 604.36 34,604,700"
"Jan 23, 2025 605.80 609.75 605.52 609.75 606.13 41,152,100"
"Jan 22, 2025 605.92 607.82 605.36 606.44 602.84 48,196,000"
"Jan 21, 2025 600.67 603.06 598.67 603.05 599.47 42,532,900"
"Jan 17, 2025 596.96 599.36 595.61 597.58 594.03 58,070,600"
"Jan 16, 2025 594.17 594.35 590.93 591.64 588.13 43,319,700"
