單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,793,726,681","3,476,899,126","1,316,827,555"
自營商(避險),"14,833,994,796","10,777,055,233","4,056,939,563"
投信,"7,738,218,313","6,301,013,112","1,437,205,201"
外資及陸資(不含外資自營商),"118,926,391,095","104,814,187,005","14,112,204,090"
外資自營商,0,0,0
合計,"146,292,330,885","125,369,154,476","20,923,176,409"
