單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,675,138,744","3,713,545,163","961,593,581"
自營商(避險),"14,694,719,152","15,284,438,142","-589,718,990"
投信,"7,475,037,546","6,674,313,287","800,724,259"
外資及陸資(不含外資自營商),"132,685,102,928","139,718,341,436","-7,033,238,508"
外資自營商,0,0,0
合計,"159,529,998,370","165,390,638,028","-5,860,639,658"
