單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"3,623,975,880","4,380,849,682","-756,873,802"
自營商(避險),"14,143,479,202","8,861,170,336","5,282,308,866"
投信,"9,552,204,415","5,885,366,002","3,666,838,413"
外資及陸資(不含外資自營商),"129,855,434,027","118,367,653,847","11,487,780,180"
外資自營商,0,0,0
合計,"157,175,093,524","137,495,039,867","19,680,053,657"
