單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"6,791,157,240","3,994,661,296","2,796,495,944"
自營商(避險),"17,131,101,610","11,528,460,155","5,602,641,455"
投信,"9,010,987,356","8,993,161,828","17,825,528"
外資及陸資(不含外資自營商),"153,878,480,798","144,489,908,990","9,388,571,808"
外資自營商,0,0,0
合計,"186,811,727,004","169,006,192,269","17,805,534,735"
