單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"2,543,279,995","6,278,197,418","-3,734,917,423"
自營商(避險),"9,653,685,053","15,771,347,583","-6,117,662,530"
投信,"8,896,728,257","6,591,525,469","2,305,202,788"
外資及陸資(不含外資自營商),"118,075,293,850","106,771,659,171","11,303,634,679"
外資自營商,0,0,0
合計,"139,168,987,155","135,412,729,641","3,756,257,514"
