排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2887,台新金,"246,397,165","26,289",16.50,16.60,16.30,16.30,-,0.10,16.30,16.35
2,1802,台玻,"228,917,755","59,772",20.65,22.80,20.40,22.35,+,1.60,22.30,22.35
3,1303,南亞,"158,707,489","55,077",34.50,37.00,33.90,37.00,+,3.35,37.00,0.00
4,2887I,台新辛特,"115,294,439","11,524",8.88,8.92,8.87,8.90,+,0.06,8.90,8.91
5,2027,大成鋼,"100,788,730","39,413",38.90,39.15,36.40,37.80,+,0.55,37.80,37.85
6,8033,雷虎,"81,524,481","45,202",78.00,79.30,74.00,78.90,+,2.50,78.80,78.90
7,6191,精成科,"57,512,254","35,628",112.00,120.50,112.00,118.00,+,8.00,117.50,118.00
8,2317,鴻海,"55,666,706","42,177",176.00,178.00,175.50,176.00,+,1.50,176.00,176.50
9,3481,群創,"55,206,653","9,524",11.55,11.85,11.50,11.70,+,0.10,11.70,11.75
10,0050,元大台灣50,"53,609,331","33,617",51.20,51.40,50.90,51.05,+,0.15,51.00,51.05
11,00919,群益台灣精選高息,"51,676,389","26,190",21.71,21.76,21.62,21.66,-,0.04,21.66,21.67
12,6213,聯茂,"51,464,035","35,829",99.50,106.00,96.90,104.00,+,6.90,103.50,104.00
13,00953B,群益優選非投等債,"49,229,951","2,174",9.17,9.18,9.16,9.18,+,0.02,9.17,9.18
14,00715L,期街口布蘭特正2,"48,176,484","4,091",11.27,11.35,11.25,11.32,-,0.15,11.32,11.33
15,3715,定穎投控,"46,503,796","33,156",67.20,73.50,67.00,71.60,+,4.40,71.50,71.60
16,1326,台化,"46,293,261","18,759",26.80,29.25,26.55,28.40,+,1.75,28.40,28.45
17,8021,尖點,"44,921,828","16,677",54.00,57.70,54.00,57.70,+,5.20,57.70,0.00
18,3706,神達,"43,307,554","24,599",76.50,77.10,75.30,75.80,-,0.60,75.80,75.90
19,1301,台塑,"42,302,496","18,238",39.30,40.90,38.75,40.05,+,0.80,40.05,40.10
20,2891,中信金,"41,148,200","14,059",42.60,42.80,42.00,42.10,-,0.40,42.05,42.10
